Month,Province,Vehicle_type,Cause,Weather_condition,Slope_description
December,Songkhla,4-wheel pickup truck,speeding,rainy,no slope
December,Bangkok,4-wheel pickup truck,speeding,clear,no slope
December,Nakhon Ratchasima,4-wheel pickup truck,speeding,clear,no slope
December,Udon Thani,private/passenger car,speeding,clear,no slope
December,Lampang,private/passenger car,speeding,clear,no slope
December,Kanchanaburi,motorcycle,speeding,clear,no slope
December,Roi Et,4-wheel pickup truck,speeding,clear,no slope
December,Surin,4-wheel pickup truck,cutting in closely by people/vehicles/animals,clear,no slope
December,Yala,4-wheel pickup truck,speeding,rainy,slope area
December,Khon Kaen,motorcycle,driving under the influence of alcohol,clear,other
December,Suphan Buri,private/passenger car,cutting in closely by people/vehicles/animals,clear,no slope
December,Kanchanaburi,motorcycle,speeding,clear,no slope
December,Songkhla,4-wheel pickup truck,speeding,clear,no slope
December,Trang,motorcycle,speeding,clear,no slope
December,Suphan Buri,4-wheel pickup truck,speeding,clear,no slope
December,Bueng Kan,motorcycle,cutting in closely by people/vehicles/animals,clear,other
December,Saraburi,4-wheel pickup truck,cutting in closely by people/vehicles/animals,clear,other
December,Phetchaburi,private/passenger car,speeding,clear,no slope
December,Surat Thani,private/passenger car,speeding,clear,no slope
December,Nakhon Ratchasima,motorcycle,speeding,clear,no slope
December,Suphan Buri,private/passenger car,cutting in closely by people/vehicles/animals,clear,other
December,Nakhon Sawan,motorcycle,cutting in closely by people/vehicles/animals,clear,no slope
December,Nong Khai,4-wheel pickup truck,speeding,clear,other
December,Sa Kaeo,motorcycle,dangerous curve,clear,no slope
December,Surat Thani,4-wheel pickup truck,speeding,rainy,no slope
December,Nonthaburi,4-wheel pickup truck,cutting in closely by people/vehicles/animals,clear,no slope
December,Chon Buri,private/passenger car,speeding,clear,no slope
December,Narathiwat,motorcycle,speeding,clear,no slope
December,Bueng Kan,motorcycle,abrupt lane change,clear,other
December,Loburi,motorcycle,cutting in closely by people/vehicles/animals,clear,no slope
December,Suphan Buri,motorcycle,speeding,clear,no slope
December,Nakhon Si Thammarat,motorcycle,speeding,clear,no slope
December,Chiang Rai,private/passenger car,speeding,clear,no slope
December,Nakhon Phanom,motorcycle,speeding,other,no slope
December,Mukdahan,motorcycle,speeding,clear,no slope
December,Chaiyaphum,motorcycle,failure to yield/signal,clear,no slope
December,Nakhon Ratchasima,4-wheel pickup truck,speeding,clear,slope area
December,Songkhla,4-wheel pickup truck,speeding,clear,other
December,Surat Thani,4-wheel pickup truck,speeding,rainy,no slope
December,Ubon Ratchathani,6-wheel truck,falling asleep,clear,no slope
December,Chiang Mai,private/passenger car,speeding,clear,no slope
December,Saraburi,motorcycle,speeding,clear,no slope
December,Suphan Buri,private/passenger car,speeding,clear,no slope
December,Phetchabun,motorcycle,cutting in closely by people/vehicles/animals,clear,no slope
December,Chiang Rai,motorcycle,speeding,clear,no slope
December,Pathum Thani,private/passenger car,speeding,clear,no slope
December,Nakhon Phanom,motorcycle,cutting in closely by people/vehicles/animals,clear,no slope
December,Loei,motorcycle,cutting in closely by people/vehicles/animals,clear,other
December,Phetchabun,4-wheel pickup truck,disabled vehicle without proper signals,clear,no slope
December,Songkhla,motorcycle,speeding,clear,no slope
December,Kanchanaburi,private/passenger car,speeding,clear,no slope
December,Surat Thani,4-wheel pickup truck,speeding,rainy,no slope
December,Phra Nakhon Si Ayutthaya,private/passenger car,speeding,clear,other
December,Trang,motorcycle,speeding,clear,no slope
December,Surat Thani,7-10-wheel truck,speeding,rainy,no slope
December,Surat Thani,4-wheel pickup truck,speeding,rainy,no slope
December,Surin,4-wheel pickup truck,cutting in closely by people/vehicles/animals,clear,other
December,Ratchaburi,motorcycle,falling asleep,clear,no slope
December,Songkhla,private/passenger car,speeding,clear,no slope
December,Saraburi,private/passenger car,falling asleep,clear,no slope
December,Sakon Nakhon,private/passenger car,speeding,clear,no slope
December,Nonthaburi,4-wheel pickup truck,speeding,clear,no slope
December,Roi Et,4-wheel pickup truck,speeding,clear,no slope
December,Nakhon Ratchasima,4-wheel pickup truck,speeding,clear,no slope
December,Songkhla,4-wheel pickup truck,speeding,clear,no slope
December,Nan,private/passenger car,falling asleep,clear,no slope
December,Loburi,private/passenger car,falling asleep,clear,no slope
December,Phitsanulok,private/passenger car,speeding,clear,no slope
December,Loei,motorcycle,speeding,clear,no slope
December,Kamphaeng Phet,4-wheel pickup truck,speeding,clear,no slope
December,Nakhon Phanom,private/passenger car,driving under the influence of alcohol,clear,no slope
December,Chiang Rai,motorcycle,speeding,clear,no slope
December,Phitsanulok,private/passenger car,other,clear,no slope
December,Kanchanaburi,4-wheel pickup truck,speeding,clear,other
December,Ang Thong,motorized tricycle,speeding,clear,no slope
December,Saraburi,private/passenger car,speeding,clear,no slope
December,Udon Thani,other,speeding,foggy,no slope
December,Songkhla,motorcycle,cutting in closely by people/vehicles/animals,foggy,no slope
December,Ang Thong,motorcycle,cutting in closely by people/vehicles/animals,dark,no slope
December,Nakhon Sawan,4-wheel pickup truck,falling asleep,clear,no slope
December,Loburi,7-10-wheel truck,speeding,clear,no slope
December,Phetchaburi,private/passenger car,falling asleep,clear,no slope
December,Phetchabun,4-wheel pickup truck,speeding,clear,no slope
December,Tak,4-wheel pickup truck,speeding,clear,no slope
December,Phuket,motorcycle,driving under the influence of alcohol,clear,no slope
December,Phayao,motorcycle,speeding,foggy,no slope
December,Nong Khai,motorcycle,unfamiliarity with the route/unskilled driving,clear,no slope
December,Ang Thong,motorcycle,speeding,clear,no slope
December,Phetchabun,4-wheel pickup truck,speeding,clear,no slope
December,Samut Songkhram,7-10-wheel truck,cutting in closely by people/vehicles/animals,clear,no slope
December,Bangkok,private/passenger car,speeding,clear,no slope
December,Chiang Mai,4-wheel pickup truck,speeding,clear,no slope
December,Phuket,motorcycle,speeding,clear,no slope
December,Chiang Mai,4-wheel pickup truck,speeding,clear,no slope
December,Nong Bua Lam Phu,other,speeding,clear,other
December,Amnat Charoen,private/passenger car,speeding,clear,no slope
December,Phetchaburi,4-wheel pickup truck,falling asleep,clear,no slope
December,Songkhla,private/passenger car,speeding,clear,no slope
December,Nonthaburi,private/passenger car,speeding,clear,no slope
December,Bueng Kan,4-wheel pickup truck,speeding,clear,other
December,Nonthaburi,motorcycle,speeding,clear,other
December,Pattani,van,speeding,clear,no slope
